1048  4
#  i     j       k     l                  coefficients(Kcal/mol) 
  CT     CT     CZ     CZ       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CT     CT     N2     H        	    -0.1900023901  	-0.4170004780      0.4179995220      0.00000   
  CT     CT     N2     H3       	    -0.1900023901  	-0.4170004780      0.4179995220      0.00000   
  CT     CT     N3     H        	    0.0000023901  	0.0000000000      0.3470004780       0.00000   
  CT     CT     N3     CT       	    1.4380031071  	-0.1239985660      0.2639997610      0.00000   
  CT     CT     N3     H3       	    -0.1900023901  	-0.4170004780      0.4179995220      0.00000   
  CT     CT     NC     NZ       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CT     CT     NO     ON       	    0.0000000000  	0.4000000000      0.0000000000       0.00000   
  CT     CT     NT     H        	    -0.1900023901  	-0.4170004780      0.4179995220      0.00000   
  CT     CT_3   NT     H        	    -0.1900023901  	-0.4170004780      0.4179995220      0.00000   
  CT     CT_2   NT     H        	    -0.1900023901  	-0.4170004780      0.4179995220      0.00000   
  CT     CT     NT     CT       	    0.4160038241  	-0.1279995220      0.6950000000      0.00000   
  CT     CT     NY     H        	    -0.1900023901  	-0.4170004780      0.4179995220      0.00000   
