930  2
#  i    j    k  	     	   cth(Kcal/mol)	 th0(Deg.)     
  CB     CN     NA        	   70.00000             104.40000      
  HA     CQ     NC        	   35.00000             115.45000      
  H5     CQ     NC        	   35.00000             115.45000      
  NC     CQ     NC        	   70.00000             129.10000      
  HA     CR     NA        	   35.00000             120.00000      
  HA     CX     NA        	   35.00000             120.00000      
  HA     CR     NB        	   35.00000             120.00000      
  HA     CK     N*        	   35.00000             120.00000      
  HA     CK     NA        	   35.00000             120.00000      
  HA     CK     NB        	   35.00000             120.00000      
  NA     CR     NA        	   70.00000             120.00000      
  NA     CR     NB        	   70.00000             120.00000      
  NA     CR     CT        	   70.00000             125.00000      
  NB     CR     CT        	   70.00000             125.00000      
  NA     CR     SY        	   70.00000             120.00000      
  NB     CR     SY        	   70.00000             120.00000      
  C      CT     CT        	   63.00000             111.10000      
  C_2    CT     CT        	   63.00000             111.10000      
  C_3    CT     CT        	   63.00000             111.10000      
  C      CT     CT_2      	   63.00000             111.10000      
  C_2    CT     CT_2      	   63.00000             111.10000      
  C_3    CT     CT_2      	   63.00000             111.10000      
  C      CT_2   CT        	   63.00000             111.10000      
  C_2    CT_2   CT        	   63.00000             111.10000      
  C_3    CT_2   CT        	   63.00000             111.10000      
  CM     CT     CT        	   63.00000             111.10000      
  CW     CT     HC        	   35.00000             109.50000      
  CV     CT     HC        	   35.00000             109.50000      
  CX     CT     HC        	   35.00000             109.50000      
  C      CT     HC        	   35.00000             109.50000      
  C_2    CT     HC        	   35.00000             109.50000      
  C_3    CT     HC        	   35.00000             109.50000      
  C      CT_2   HC        	   35.00000             109.50000      
  C_2    CT_2   HC        	   35.00000             109.50000      
  C_3    CT_2   HC        	   35.00000             109.50000      
  C      CT     N         	   63.00000             110.10000      
  C_2    CT     N         	   63.00000             110.10000      
  C_3    CT     N         	   63.00000             110.10000      
  C      CT_2   N         	   63.00000             110.10000      
  C_2    CT_2   N         	   63.00000             110.10000      
  C_3    CT_2   N         	   63.00000             110.10000      
  C      CT     NC        	   63.00000             110.10000      
  C_2    CT     NC        	   63.00000             110.10000      
  C_3    CT     NC        	   63.00000             110.10000      
  C*     CT     CT        	   63.00000             115.60000      
  C*     CT     CT_2      	   63.00000             115.60000      
  C*     CT     HC        	   35.00000             109.50000      
  CS     CT     CT        	   63.00000             115.60000      
  CS     CT     HC        	   35.00000             109.50000      
  CA     CT     CT        	   63.00000             114.00000      
  CA     CT     CT_2      	   63.00000             114.00000      
  CA     CT     HC        	   35.00000             109.50000      
  CW     CT     CT        	   63.00000             114.00000      
  CW     CT     CT_2      	   63.00000             114.00000      
  CV     CT     CT        	   63.00000             114.00000      
  CV     CT     CT_2      	   63.00000             114.00000      
  CX     CT     CT        	   63.00000             114.00000      
  CX     CT     CT_2      	   63.00000             114.00000      
  CM     CT     HC        	   35.00000             109.50000      
  C=     CT     HC        	   35.00000             109.50000      
  CT     CT     CT        	   58.35002             112.70000      
  CT_2   CT     CT        	   58.35002             112.70000      
  CT     CT_2   CT        	   58.35002             112.70000      
  CT     CT     CT_3      	   58.35002             112.70000      
  C3     CT     C3        	   40.00000             109.50000      
  C3     CT     C         	   63.00000             109.50000      
  CT_2   CT     HC        	   37.50000             110.70000      
  CT     CT_2   HC        	   37.50000             110.70000      
  CT     CT     HC        	   37.50000             110.70000      
  CT     CT_3   HC        	   37.50000             110.70000      
  CT_3   CT     HC        	   37.50000             110.70000      
  CT     CT_4   HC        	   37.50000             110.70000      
  CT     CT     N         	   80.00000             109.70000      
  CT     CT_2   N         	   80.00000             109.70000      
  CT     CT_3   N         	   80.00000             109.70000      
  CT     CT_3   NT        	   80.00000             109.70000      
  CT     CT     N*        	   50.00000             109.50000      
  CT     CT     N2        	   80.00000             111.20000      
  C      CT     N3        	   80.00000             111.20000      
  C_2    CT     N3        	   80.00000             111.20000      
  C_3    CT     N3        	   80.00000             111.20000      
  C      CT_2   N3        	   80.00000             111.20000      
  C_2    CT_2   N3        	   80.00000             111.20000      
  C_3    CT_2   N3        	   80.00000             111.20000      
  C      CT     NT        	   80.00000             111.20000      
  C      CT_2   NT        	   80.00000             111.20000      
  C_2    CT     NT        	   80.00000             111.20000      
  C_3    CT     NT        	   80.00000             111.20000      
  CA     CT     N         	   80.00000             109.70000      
  CA     CT     NT        	   80.00000             111.20000      
  CA     CT     NA        	   80.00000             111.20000      
  CT     CT     NA        	   80.00000             111.20000      
  CT     CA     N         	   80.00000             109.70000      
  CT     CT     N3        	   80.00000             111.20000      
  CT     CT_2   N3        	   80.00000             111.20000      
  CT     CT_3   N3        	   80.00000             111.20000      
